track_id,name,artists,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
14OxJlLdcHNpgsm4DRwDOB,Habits (Stay High),Tove Lo,Pop,0.729,0.65,5,-3.539,1,0.0313,0.0702,6.69e-05,0.0829,0.347,110.02
5Gu0PDLN4YJeW75PpBSg9p,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,Pop,0.664,0.708,8,-4.154,1,0.0474,0.0337,0.0,0.0841,0.742,103.07
2BgEsaKNfHUdlh97KmvFyo,2002,Anne-Marie,Pop,0.697,0.683,1,-2.881,0,0.117,0.0372,0.0,0.137,0.603,96.133
4e4fqjx0Izh4svvTef1z7e,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,Pop,0.642,0.772,10,-6.61,1,0.0848,0.0476,0.0,0.0646,0.589,153.995
0puf9yIluy9W0vpMEUoAnN,Bang Bang,Jessie J,Pop,0.706,0.786,0,-3.417,0,0.091,0.26,0.0,0.38,0.751,150.028
0qvzXomUDJVaUboy2wMfiS,This Town,Niall Horan,Pop,0.677,0.401,9,-8.467,1,0.0308,0.712,0.0,0.116,0.195,111.825
22vgEDb5hykfaTwLuskFGD,Sucker,Jonas Brothers,Pop,0.842,0.734,1,-5.065,0,0.0588,0.0427,0.0,0.106,0.952,137.958
5Q0Nhxo0l2bP3pNjpGJwV1,Party In The U.S.A.,Miley Cyrus,Pop,0.652,0.698,10,-4.667,0,0.042,0.00112,0.000115,0.0886,0.47,96.021
6KHL1En9v6iNWjcs44mcmU,Secret Love Song (feat. Jason Derulo),Little Mix,Pop,0.529,0.614,9,-5.032,1,0.0479,0.215,0.0,0.277,0.141,92.972
76hfruVvmfQbw0eYn1nmeC,Cake By The Ocean,DNCE,Pop,0.774,0.753,4,-5.446,0,0.0517,0.152,0.0,0.0371,0.896,119.002
0IuVhCflrQPMGRrOyoY5RW,she's all i wanna be,Tate McRae,Pop,0.614,0.644,2,-5.372,0,0.0426,0.0134,7.07e-06,0.117,0.651,160.036
2BWWsCwuHAZFE1scLyP6Qe,Somebody To You,The Vamps,Pop,0.559,0.849,3,-4.676,1,0.0454,0.0854,0.0,0.328,0.759,86.978
5NQJnRpJHRaupdegphntQT,Jealous - Remix,Nick Jonas,Pop,0.684,0.71,11,-3.614,0,0.0779,0.0132,0.0,0.444,0.451,93.007
1gugDOSMREb34Xo0c1PlxM,She Looks So Perfect,5 Seconds of Summer,Pop,0.494,0.951,9,-4.237,1,0.132,0.000569,0.0,0.327,0.441,160.025
46xkXPGjR9Ig9BcaTUNus3,Your Song,Rita Ora,Pop,0.853,0.571,1,-5.845,1,0.0543,0.133,0.0,0.0564,0.958,117.991
09IStsImFySgyp0pIQdqAc,The Middle,Zedd,Pop,0.753,0.657,7,-3.061,1,0.0449,0.171,0.0,0.112,0.437,107.01
6ATgDc6e4sPn84hvJsAmPt,hate u love u,Olivia O'Brien,Pop,0.407,0.416,6,-8.915,0,0.174,0.656,0.0,0.0981,0.246,176.947
2P91MQbaiQOfbiz9VqhqKQ,I Like Me Better,Lauv,Pop,0.752,0.505,9,-7.621,1,0.253,0.535,2.55e-06,0.104,0.419,91.97
0Rx0DJI556Ix5gBny6EWmn,Paradise,Bazzi,Pop,0.844,0.644,11,-6.273,0,0.0479,0.0828,0.0,0.113,0.591,122.061
3AVXwaOGCEL8cmBecfcsFJ,Light Switch,Charlie Puth,Pop,0.69,0.626,6,-5.693,1,0.306,0.105,0.000335,0.0881,0.912,184.009
4LRPiXqCikLlN15c3yImP7,As It Was,Harry Styles,Pop,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93
0laYHRpNTS6i8FXdupHkJ4,Love You Like A Love Song,Selena Gomez & The Scene,Pop,0.858,0.678,1,-3.87,0,0.0469,0.0761,0.0,0.0741,0.922,117.009
1YlulsUKDduOmC7WxvXYPW,Painkiller,Ruel,Pop,0.683,0.42,5,-6.51,1,0.0542,0.0875,0.0,0.225,0.469,128.621
0U1W2LZVUX7qTm7dDpqxh6,When You're Gone,Shawn Mendes,Pop,0.603,0.691,5,-5.805,1,0.0372,0.0248,0.0,0.583,0.577,147.148
2YlZnw2ikdb837oKMKjBkW,Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor,Pop,0.63,0.53,0,-7.259,1,0.0434,0.4,0.0,0.177,0.417,108.038
6J2LdBN97cDWn0MLxYh9HB,July,Noah Cyrus,Pop,0.708,0.186,9,-8.953,0,0.042,0.868,0.0,0.0779,0.322,72.541
6WC5fhc9XMaCrUNKNjm9xE,Thumbs,Sabrina Carpenter,Pop,0.73,0.718,8,-3.496,1,0.0478,0.0284,0.0,0.0892,0.127,135.045
29JrmE89KgRyCxBIzq2Ocw,Strip That Down (feat. Quavo),Liam Payne,Pop,0.873,0.495,6,-5.446,1,0.0518,0.199,0.0,0.0805,0.546,106.033
5f2zZawBtGBEw24ABweErz,Playground (from the series Arcane League of Legends),Bea Miller,Pop,0.514,0.703,8,-6.859,1,0.0298,0.0107,7.62e-05,0.13,0.356,157.399
3VlbOrM6nYPprVvzBZllE5,Too Good At Goodbyes,Sam Smith,Pop,0.681,0.372,5,-8.237,1,0.0432,0.64,0.0,0.169,0.476,91.873
72gv4zhNvRVdQA0eOenCal,Symphony (feat. Zara Larsson),Clean Bandit,Pop,0.715,0.605,0,-5.128,0,0.0428,0.239,1.41e-05,0.189,0.454,122.956
0EGuSSpuu9wmHCtvb4PdLO,"Sit Still, Look Pretty",Daya,Pop,0.655,0.74,2,-4.081,1,0.274,0.14,0.0,0.106,0.543,182.105
7eQHxigpuDJjCG50JyzU8v,Butterflies,MAX,Pop,0.7,0.613,11,-4.041,1,0.0408,0.385,0.0,0.0887,0.42,88.084
4GRFzKI7jTZ3kbMfouc7bn,Backstabber,Kesha,Pop,0.6,0.939,7,-1.794,1,0.19,0.0666,6.18e-06,0.34,0.833,159.941
46u5B2WN4wryYLZuMAOmI4,Hurts So Good,Astrid S,Pop,0.672,0.625,7,-5.068,0,0.0468,0.0774,0.0,0.0934,0.423,120.038
4zRZAmBQP8vhNPf9i9opXt,8 Letters,Why Don't We,Pop,0.607,0.478,1,-5.702,0,0.031,0.649,0.0,0.0928,0.255,88.979
5WHTFyqSii0lmT9R21abT8,Don't Call Me Up,Mabel,Pop,0.674,0.881,9,-2.853,1,0.147,0.296,3.01e-06,0.0793,0.234,98.994
1TQXIltqoZ5XXyfCbAeSQQ,Dancing With Your Ghost,Sasha Alex Sloan,Pop,0.629,0.328,11,-8.284,1,0.029,0.768,2.5e-05,0.103,0.389,74.953
5Z0AM9HW78XIyZqF2BPasr,Bitter,FLETCHER,Pop,0.724,0.594,6,-7.126,0,0.102,0.393,0.00116,0.0889,0.413,136.002
3oiMJQAWVaxSubJ7b2VUtX,Fancy,Iggy Azalea,Pop,0.912,0.716,10,-4.141,0,0.0697,0.0904,0.0,0.0491,0.377,94.981
3avYqdwHKEq8beXbeWCKqJ,Last Friday Night (T.G.I.F.),Katy Perry,Pop,0.652,0.812,3,-3.797,0,0.0409,0.00125,3.01e-05,0.667,0.72,126.023
6s8nHXTJVqFjXE4yVZPDHR,Troublemaker (feat. Flo Rida),Olly Murs,Pop,0.762,0.863,0,-3.689,0,0.0561,0.015,0.0,0.125,0.965,106.012
3TGRqZ0a2l1LRblBkJoaDx,Call Me Maybe,Carly Rae Jepsen,Pop,0.783,0.58,7,-6.548,1,0.0408,0.0114,2.28e-06,0.108,0.66,120.021
3xrn9i8zhNZsTtcoWgQEAd,Since U Been Gone,Kelly Clarkson,Pop,0.662,0.741,0,-5.406,1,0.0334,0.00165,0.0303,0.114,0.404,131.0
5uCax9HTNlzGybIStD3vDh,Say You Won't Let Go,James Arthur,Pop,0.358,0.557,10,-7.398,1,0.059,0.695,0.0,0.0902,0.494,85.043
3eJH2nAjvNXdmPfBkALiPZ,Acapulco,Jason Derulo,Pop,0.774,0.792,10,-4.021,1,0.0523,0.051,0.0,0.155,0.507,122.062
49dFIRQCQxPWgoH0m38XQ5,Summer Feelings (feat. Charlie Puth) - From 'SCOOB!' The Album,Lennon Stella,Pop,0.696,0.686,5,-6.113,0,0.0309,0.262,0.0,0.174,0.7,115.982
11M8c9SHQYpd8DOrmcu25k,Beg For You (feat. Rina Sawayama),Charli XCX,Pop,0.788,0.945,9,-5.091,1,0.0599,0.223,2.97e-06,0.115,0.466,128.036
3LEgGAl9zLcQWGTp7ptqtQ,Don’t Wake Me Up,Jonas Blue,Pop,0.621,0.747,11,-5.084,1,0.0337,0.222,0.000194,0.147,0.426,124.015
18uwL0vNUanqZH0ro2QcOP,comethru,Jeremy Zucker,Pop,0.795,0.178,0,-11.991,1,0.0574,0.607,0.0,0.623,0.608,93.982
2eAvDnpXP5W0cVtiI0PUxV,Dandelions,Ruth B.,Pop,0.609,0.692,1,-2.958,1,0.0259,0.0157,0.0,0.0864,0.454,116.959
0Wc6cbF38a90b8wov9V63F,Like Strangers Do,AJ Mitchell,Pop,0.633,0.242,3,-8.523,0,0.0761,0.515,0.0,0.0839,0.694,98.219
2MvvoeRt8NcOXWESkxWn3g,Ribs,Lorde,Pop,0.511,0.472,4,-9.277,1,0.091,0.534,0.614,0.11,0.0399,127.978
77MdvMx9L4ZQuLhhn3o21h,If the World Was Ending (feat. Julia Michaels),JP Saxe,Pop,0.429,0.486,1,-9.971,1,0.101,0.866,0.0,0.0982,0.661,146.99
5acSb48zFAcXTdL5Wsk8xx,Lean On Me,Cheat Codes,Pop,0.686,0.738,9,-5.802,1,0.287,0.0703,0.0,0.0505,0.45,101.829
0VpEX8ib3wE7u8NOw4szU6,Eyes Off You,PRETTYMUCH,Pop,0.631,0.512,0,-9.675,0,0.0572,0.511,0.0,0.0827,0.529,106.027
3Q4WeJmzxuDpzMu9QjQqbM,Big Girls Don't Cry (Personal),Fergie,Pop,0.708,0.641,7,-4.296,1,0.0335,0.205,0.0,0.0945,0.253,113.082
4r1CoAATVuxag55Ct3Y1aX,I'll Be There,Jess Glynne,Pop,0.627,0.858,7,-3.116,1,0.0394,0.0288,0.0,0.199,0.399,100.074
3jVtllWS5CFFWLQng8sKsr,2 On (feat. ScHoolboy Q),Tinashe,Pop,0.742,0.595,9,-7.51,1,0.107,0.15,0.0,0.111,0.431,101.013
35mvY5S1H3J2QZyna3TFe0,positions,Ariana Grande,Pop,0.737,0.802,0,-4.771,1,0.0878,0.468,0.0,0.0931,0.682,144.015
6lanRgr6wXibZr8KgzXxBl,A Thousand Years,Christina Perri,Pop,0.421,0.407,10,-7.445,1,0.0267,0.309,0.000961,0.11,0.161,139.028
7FjZU7XFs7P9jHI9Z0yRhK,So Close,NOTD,Pop,0.7,0.872,10,-5.896,1,0.0666,0.121,7.08e-06,0.103,0.761,125.03
2vXgyN14LX2zl7JEASw242,Wild Side (feat. Cardi B),Normani,Pop,0.74,0.576,6,-6.744,0,0.146,0.0249,0.0,0.104,0.315,110.095
5yDL13y5giogKs2fSNf7sj,Glad You Came,The Wanted,Pop,0.722,0.851,7,-3.873,0,0.0639,0.0319,0.0,0.108,0.452,126.885
4T4NLIMypdmyUwK54jECk4,Too Little Too Late,JoJo,Pop,0.421,0.799,6,-5.183,0,0.0562,0.00871,1.63e-05,0.0794,0.731,82.408
5qrSlOut2rNAWv3ubArkNy,Be Alright,Dean Lewis,Pop,0.551,0.537,11,-7.595,1,0.034,0.705,0.0,0.0802,0.493,126.421
5O2P9iiztwhomNh8xkR9lJ,Night Changes,One Direction,Pop,0.672,0.52,8,-7.747,1,0.0353,0.859,0.0,0.115,0.37,120.001
72Bz4ciRZPBcVSw0nrZDHi,Do It Again,Pia Mia,Pop,0.712,0.564,8,-6.527,1,0.047,0.0266,0.0,0.0874,0.411,95.95
0TXNKTzawI6VgLoA9UauRp,When You Love Someone,James TW,Pop,0.681,0.453,7,-6.09,1,0.0278,0.263,0.0,0.0543,0.348,125.772
1is8gU4RVcN4J8xItxWoOY,I GUESS I'M IN LOVE,Clinton Kane,Pop,0.422,0.34,0,-6.577,1,0.0351,0.877,1.77e-05,0.149,0.223,77.213
4UrkPTyYTshiX5Kwfbggwm,Sweet Talker,Years & Years,Pop,0.427,0.901,10,-3.597,1,0.0485,0.224,0.0,0.0698,0.641,121.004
6RUKPb4LETWmmr3iAEQktW,Something Just Like This,The Chainsmokers,Pop,0.617,0.635,11,-6.769,0,0.0317,0.0498,1.44e-05,0.164,0.446,103.019
5nujrmhLynf4yMoMtj8AQF,Levitating (feat. DaBaby),Dua Lipa,Pop,0.702,0.825,6,-3.787,0,0.0601,0.00883,0.0,0.0674,0.915,102.977
1X1DWw2pcNZ8zSub3uhlNz,Hall of Fame (feat. will.i.am),The Script,Pop,0.421,0.873,10,-4.343,1,0.0564,0.0654,0.0,0.123,0.629,84.786
07HPV6hzecJmMJwsIX8YVU,He Could Be the One,Hannah Montana,Pop,0.602,0.894,4,-3.975,1,0.032,0.00154,0.0,0.433,0.643,125.988
6FE2iI43OZnszFLuLtvvmg,Classic,MKTO,Pop,0.72,0.791,1,-4.689,1,0.124,0.0384,0.0,0.157,0.756,102.071
3D2H0RZzOXziswr9UHbpyb,if we never met,John K,Pop,0.958,0.376,8,-7.063,1,0.0523,0.171,0.0,0.13,0.331,107.964
4WghJOMjDpGdlk3b8aJIgy,up at night (feat. justin bieber),Kehlani,Pop,0.563,0.756,0,-3.852,0,0.0579,0.196,0.0,0.245,0.234,100.012
2D0FX6WiP1GKGL3yCdXxs7,Joke's On You,Charlotte Lawrence,Pop,0.476,0.652,2,-4.546,0,0.104,0.23,0.0,0.136,0.47,190.118
3sa06xVNmLLYIxdNNmVQN8,Where Did You Go? (feat. MNEK),Jax Jones,Pop,0.763,0.782,7,-4.541,0,0.0346,0.182,7.08e-06,0.293,0.502,127.034
33KJ2xFYONOlIYDBg6wPx8,Personal,HRVY,Pop,0.755,0.536,8,-5.605,1,0.12,0.114,0.0,0.0282,0.882,138.969
11mwFrKvLXCbcVGNxffGyP,Genie In a Bottle,Christina Aguilera,Pop,0.633,0.8,1,-6.945,1,0.166,0.209,0.000123,0.137,0.913,175.716
3n5te2xbUAPjzAnhLgA42z,Let's Fall in Love for the Night,FINNEAS,Pop,0.737,0.408,5,-7.941,1,0.104,0.802,0.0,0.171,0.374,127.918
1gZ7i4qxXkHZb1r6eioaAP,Don't Cha,The Pussycat Dolls,Pop,0.877,0.637,1,-3.493,0,0.101,0.00516,2.5e-06,0.0959,0.569,119.988
6Owc2SuzwO3LW1SAODYK3l,Melody,Sigala,Pop,0.63,0.91,10,-2.681,0,0.058,0.0231,1.91e-06,0.125,0.525,123.017
4z7gh3aIZV9arbL9jJSc5J,Ghost,Ella Henderson,Pop,0.68,0.84,9,-3.823,1,0.0414,0.0457,8.66e-06,0.143,0.468,104.975
5Z3GHaZ6ec9bsiI5BenrbY,Young Dumb & Broke,Khalid,Pop,0.799,0.539,1,-6.351,1,0.0421,0.199,1.66e-05,0.165,0.394,136.948
4nyF5lmSziBAt7ESAUjpbx,"I miss you, I’m sorry",Gracie Abrams,Pop,0.445,0.455,7,-6.405,1,0.0575,0.731,1.47e-06,0.124,0.151,109.885
4qu63nuBpdn0qHUHuObEj1,Leave Before You Love Me (with Jonas Brothers),Marshmello,Pop,0.721,0.738,7,-4.77,1,0.0403,0.00226,4.41e-06,0.118,0.637,119.976
71yN0yrHej3jhKXewbmtEh,Coconuts,Kim Petras,Pop,0.728,0.863,2,-4.67,0,0.0675,0.0139,0.000259,0.167,0.489,111.972
5xvUgoVED1F4mBu8FL0HaW,Ready or Not,Bridgit Mendler,Pop,0.715,0.872,2,-3.835,1,0.0509,0.00351,3.84e-05,0.107,0.748,93.043
6sy3LkhNFjJWlaeSMNwQ62,Counting Stars,OneRepublic,Pop,0.664,0.705,1,-4.972,0,0.0382,0.0654,0.0,0.115,0.477,122.017
3EQMcKkWEB0LKLyRuspibc,Demons,Hayley Kiyoko,Pop,0.845,0.641,1,-4.548,0,0.0444,0.0346,0.00209,0.176,0.528,108.985
2yPoXCs7BSIUrucMdK5PzV,Umbrella,Rihanna,Pop,0.583,0.829,1,-4.603,1,0.134,0.00864,0.0,0.0426,0.575,174.028
7FGq80cy8juXBCD2nrqdWU,Eastside (with Halsey & Khalid),benny blanco,Pop,0.632,0.686,6,-7.665,0,0.243,0.549,0.0,0.2,0.329,89.949
7a53HqqArd4b9NF4XAmlbI,Kings & Queens,Ava Max,Pop,0.637,0.69,1,-4.057,0,0.0405,0.00786,0.0,0.124,0.457,129.857
3H3r2nKWa3Yk5gt8xgmsEt,This City,Sam Fischer,Pop,0.605,0.377,11,-6.213,1,0.0443,0.733,0.0,0.0808,0.519,73.877
6E11E0lT5Zy7yb6iT3y8DN,Want U Back,Cher Lloyd,Pop,0.694,0.891,9,-2.94,1,0.0949,0.0562,0.0,0.561,0.563,97.939
4RL77hMWUq35NYnPLXBpih,Skinny Love,Birdy,Pop,0.379,0.29,4,-8.485,1,0.051,0.952,0.00106,0.118,0.169,166.467
1oHNvJVbFkexQc0BpQp7Y4,Starships,Nicki Minaj,Pop,0.747,0.716,11,-2.457,0,0.075,0.135,0.0,0.251,0.751,125.008
0zbzrhfVS9S2TszW3wLQZ7,September Song,JP Cooper,Pop,0.614,0.615,0,-6.7,0,0.0444,0.054,0.0,0.0921,0.374,95.941
69HzZ3ti9DLwb0GdWCGYSo,Moral of the Story,Ashe,Pop,0.569,0.403,10,-8.618,1,0.0439,0.593,4.49e-06,0.102,0.269,119.819
2MJz8BxxMsERULatmBikDH,At My Worst,Pink Sweat$,Pop,0.813,0.415,0,-5.926,1,0.0349,0.777,0.0,0.131,0.667,91.921
6zdg9ovHEPx9EblJcc7FGf,Your Shirt,Chelsea Cutler,Pop,0.433,0.478,2,-6.641,1,0.0725,0.191,0.0,0.32,0.173,179.98
7qEHsqek33rTcFNT9PFqLf,Someone You Loved,Lewis Capaldi,Pop,0.501,0.405,1,-5.679,1,0.0319,0.751,0.0,0.105,0.446,109.891
13HVjjWUZFaWilh2QUJKsP,Let It Go,James Bay,Pop,0.546,0.311,1,-10.396,1,0.0288,0.818,1.65e-05,0.107,0.246,147.464
2VxeLyX666F8uXCJ0dZF8B,Shallow,Lady Gaga,Pop,0.572,0.385,7,-6.362,1,0.0308,0.371,0.0,0.231,0.323,95.799
3AMQKTsIR0ukMOXvPkwaKz,Set Me Free,Joshua Bassett,Pop,0.449,0.39,2,-8.263,1,0.0363,0.256,0.0,0.147,0.123,130.11
66ZcOcouenzZEnzTJvoFmH,The Sweet Escape,Gwen Stefani,Pop,0.756,0.77,1,-3.502,1,0.0343,0.191,0.0,0.178,0.73,119.961
1jUA4rb6ZCv4gby4YU53xq,No Air (feat. Chris Brown),Jordin Sparks,Pop,0.466,0.759,8,-4.978,0,0.199,0.0521,0.0,0.0587,0.328,160.033
35Dh5MnCUPLN3XyAVtQff3,Do It,Chloe x Halle,Pop,0.725,0.668,5,-7.286,0,0.055,0.0932,2.33e-06,0.112,0.566,82.966
2iJuuzV8P9Yz0VSurttIV5,Scream & Shout,will.i.am,Pop,0.772,0.685,5,-6.849,1,0.0696,0.019,8.96e-05,0.131,0.501,130.033
1yvMUkIOTeUNtNWlWRgANS,Unstoppable,Sia,Pop,0.468,0.779,9,-4.839,1,0.0779,0.112,0.000373,0.101,0.26,173.799
1Lim1Py7xBgbAkAys3AGAG,Lean On,Major Lazer,Pop,0.723,0.809,7,-3.081,0,0.0625,0.00346,0.00123,0.565,0.274,98.007
3DTqHfTGj1c6y2gDXsTez4,Regardless,RAYE,Pop,0.749,0.82,7,-6.114,1,0.0478,0.0205,0.000685,0.0775,0.534,120.066
3HWzoMvoF3TQfYg4UPszDq,Truth Hurts,Lizzo,Pop,0.715,0.624,4,-3.046,0,0.114,0.11,0.0,0.123,0.412,158.087
2iHsdUnmKGIuc9oRE3DfgJ,House On Fire,Mimi Webb,Pop,0.61,0.747,2,-4.543,1,0.109,0.0245,0.0,0.106,0.439,150.088
5A3fPy30SN2wuzrahpcxvV,"Don't Give Up On Me - (From ""Five Feet Apart"")",Andy Grammer,Pop,0.641,0.537,0,-5.452,0,0.0282,0.0875,9.05e-06,0.115,0.0681,112.864
3yMC1KsTwh0ceXdIe4QQAQ,Fingers Crossed,Lauren Spencer-Smith,Pop,0.56,0.473,5,-7.23,1,0.0533,0.618,0.0,0.31,0.441,109.414
6I3mqTwhRpn34SLVafSH7G,Ghost,Justin Bieber,Pop,0.601,0.741,2,-5.569,1,0.0478,0.185,2.91e-05,0.415,0.441,153.96
3C0nOe05EIt1390bVABLyN,On The Floor,Jennifer Lopez,Pop,0.73,0.777,3,-5.194,0,0.0496,0.105,0.000478,0.0691,0.575,130.0
5dXWFMwD7I7zXsInONVl0H,I Hate U,SZA,Pop,0.535,0.388,7,-9.805,0,0.155,0.507,0.0,0.11,0.412,106.703
2BOqDYLOJBiMOXShCV1neZ,Dancing On My Own,Calum Scott,Pop,0.681,0.174,1,-8.745,1,0.0315,0.837,3.35e-05,0.0983,0.231,112.672
0CZ8lquoTX2Dkg7Ak2inwA,1950,King Princess,Pop,0.6,0.535,4,-7.043,1,0.107,0.648,4.7e-06,0.162,0.269,71.912
1mKXFLRA179hdOWQBwUk9e,Just Give Me a Reason (feat. Nate Ruess),P!nk,Pop,0.778,0.547,2,-7.273,1,0.0489,0.346,0.000302,0.132,0.441,95.002
1p80LdxRV74UKvL8gnD7ky,Blank Space,Taylor Swift,Pop,0.753,0.678,5,-5.421,1,0.0644,0.085,1.64e-06,0.13,0.583,96.006
3ERa3mEeOnrh2Mc47qM6T1,Halo,Beyoncé,Pop,0.508,0.72,11,-5.908,0,0.0628,0.272,0.0,0.0563,0.472,79.983
2Gs2mHNQF2Lt7a9iIarcji,Psycho,Maisie Peters,Pop,0.562,0.765,3,-2.967,1,0.21,0.613,0.0,0.0774,0.707,118.879
1NDxZ7cFAo481dtYWdrUnR,Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,Pop,0.703,0.868,7,-4.661,0,0.0291,0.15,0.132,0.104,0.733,121.03
0rFOs9paloAvEtzwDX1Kmc,Bubbly,Colbie Caillat,Pop,0.697,0.474,9,-6.663,1,0.0351,0.603,0.0,0.11,0.249,127.904
1WkMMavIMc4JZ8cfMmxHkI,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Trolls,Pop,0.669,0.832,0,-5.721,1,0.0682,0.0106,0.0,0.0968,0.7,113.035
3JfHYZKy5JmE5Fv4gDTCiz,Welcome to Wonderland,Anson Seabra,Pop,0.703,0.179,4,-10.906,1,0.0366,0.949,0.0,0.102,0.346,97.427
6YUTL4dYpB9xZO5qExPf05,Summer,Calvin Harris,Pop,0.596,0.856,4,-3.556,0,0.0346,0.0211,0.0178,0.141,0.743,127.949
0TYhf0MgEj4YJaKwo5c4Km,Wicked Games,Kiana Ledé,Pop,0.789,0.435,1,-7.042,0,0.0599,0.447,0.0,0.135,0.456,72.973
0lYBSQXN6rCTvUZvg9S0lU,Let Me Love You,DJ Snake,Pop,0.649,0.716,8,-5.371,1,0.0349,0.0863,2.63e-05,0.135,0.163,99.988
3fMNMAP51H7NywqzoukIRy,Numb,Carlie Hanson,Pop,0.832,0.738,0,-4.417,1,0.0783,0.258,1.49e-05,0.22,0.49,127.874
6CTWathupIiDs7U4InHnDA,Trip,Ella Mai,Pop,0.477,0.61,11,-5.628,0,0.144,0.225,0.0,0.107,0.358,79.882
4xqrdfXkTW4T0RauPLv3WA,Heather,Conan Gray,Pop,0.357,0.425,5,-7.301,1,0.0333,0.584,0.0,0.322,0.27,102.078
5902W4uHWzhtOff1UK7the,When I’m Gone (with Katy Perry),Alesso,Pop,0.685,0.886,0,-4.179,1,0.034,0.028,0.0,0.481,0.615,125.034
3PWKPX3YJAHBL8JozsWTMC,Your Side Of The Bed,Loote,Pop,0.781,0.742,8,-4.978,1,0.0296,0.0649,0.0,0.293,0.91,109.915
11dxtPJKR4E0wlSr0A0t47,Potential Breakup Song,Aly & AJ,Pop,0.572,0.89,6,-4.139,0,0.039,0.00082,0.00937,0.564,0.765,158.038
7wZUrN8oemZfsEd1CGkbXE,Bleeding Love,Leona Lewis,Pop,0.638,0.656,5,-5.886,1,0.0357,0.188,0.0,0.146,0.225,104.036
4RAR8g8fZNB106ezUurnE0,Dancing Feet (feat. DNCE),Kygo,Pop,0.75,0.797,0,-4.826,1,0.118,0.293,0.0,0.392,0.523,105.949
2gam98EZKrF9XuOkU13ApN,Promiscuous,Nelly Furtado,Pop,0.808,0.97,10,-6.098,0,0.0506,0.0569,6.13e-05,0.154,0.868,114.328
3ZBeHiRJUj1vdiU8zzGPgb,WYD Now?,Sadie Jean,Pop,0.378,0.334,1,-10.993,1,0.304,0.776,0.0,0.115,0.496,181.296
1hGy2eLcmC8eKx7qr1tOqx,Beautiful Girls,Sean Kingston,Pop,0.762,0.661,1,-6.075,0,0.0687,0.15,0.0,0.256,0.769,130.009
7yNX3ZFBWZoR52pbeU4Mcl,Gold,Kiiara,Pop,0.6,0.412,5,-9.343,0,0.344,0.615,0.0026,0.134,0.408,113.05
4cZ3UsiKd1kUQIaq4BFIj2,No One Compares To You,Jack & Jack,Pop,0.7,0.748,1,-6.044,1,0.0434,0.127,0.0,0.0941,0.631,111.939
2kfGoV9a5dbSKCNmUWH2ZF,Turning Page,Sleeping At Last,Pop,0.307,0.371,3,-8.498,1,0.0288,0.923,0.0253,0.11,0.189,115.241
